Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
19,2241112,28,8,single,rented,no,Police_officer,Sirsa,Haryana,6,14,0
42,2735428,72,20,single,rented,no,Surveyor,Shimla,Himachal_Pradesh,6,14,0
49,8996641,75,12,single,rented,no,Microbiologist,Patiala,Punjab,12,13,0
60,9311486,68,9,single,rented,no,Lawyer,Panchkula,Haryana,9,12,0
63,9724250,67,17,single,rented,yes,Dentist,Bathinda,Punjab,3,13,0
66,9822116,27,12,single,rented,no,Artist,Haridwar,Uttarakhand,12,13,0
80,6227811,60,14,single,owned,no,Economist,Sirsa,Haryana,12,12,0
94,8005608,65,8,single,rented,no,Civil_servant,Sonipat,Haryana,8,12,1
111,1197375,41,0,single,rented,yes,Microbiologist,Srinagar,Jammu_and_Kashmir,0,11,0
130,1855377,26,3,single,rented,no,Magistrate,Shimla,Himachal_Pradesh,3,13,0
148,9657655,76,0,single,rented,no,Psychologist,Jalandhar,Punjab,0,12,0
151,8791091,33,15,single,rented,no,Microbiologist,Karnal,Haryana,12,14,0
179,412015,23,8,single,rented,no,Technical_writer,Gurgaon,Haryana,4,10,0
191,6862187,22,7,single,rented,no,Scientist,Srinagar,Jammu_and_Kashmir,7,12,1
203,4184636,55,2,single,rented,yes,Official,Amritsar,Punjab,2,10,0
205,4736350,38,13,single,rented,no,Microbiologist,Ambala,Haryana,6,13,1
222,4421612,79,20,single,rented,no,Firefighter,Rohtak,Haryana,8,11,0
249,9984878,51,18,single,rented,yes,Comedian,Jammu[16],Jammu_and_Kashmir,8,12,0
252,2959223,43,2,single,rented,no,Analyst,Ambala,Haryana,2,12,0
269,5498131,61,15,single,rented,no,Industrial_Engineer,Amritsar,Punjab,7,13,0
277,9043312,71,10,single,owned,no,Physician,Phagwara,Punjab,3,14,0
290,7362151,65,4,single,rented,no,Magistrate,Gurgaon,Haryana,3,11,0
300,7167873,61,0,single,rented,yes,Designer,Ambala,Haryana,0,11,1
312,667848,58,10,single,rented,no,Comedian,Faridabad,Haryana,8,12,0
325,1680177,33,18,single,owned,no,Industrial_Engineer,Sonipat,Haryana,6,11,1
330,4706227,76,6,single,rented,yes,Technical_writer,Haridwar,Uttarakhand,6,14,0
363,3991574,62,20,single,rented,no,Technical_writer,Jammu[16],Jammu_and_Kashmir,7,10,0
368,1672431,45,8,single,rented,no,Drafter,Jalandhar,Punjab,8,14,0
371,8262466,46,4,single,rented,no,Chemical_engineer,Phagwara,Punjab,4,13,0
374,3128681,59,4,single,owned,no,Drafter,Ludhiana,Punjab,4,12,0
382,4594450,79,14,single,rented,no,Microbiologist,Shimla,Himachal_Pradesh,14,11,0
383,2703840,48,17,single,norent_noown,no,Computer_operator,Dehradun,Uttarakhand,5,14,0
391,3171323,21,17,single,rented,no,Industrial_Engineer,Shimla,Himachal_Pradesh,5,12,0
423,5615027,23,14,single,rented,yes,Civil_engineer,Dehradun,Uttarakhand,14,14,0
430,3890518,64,19,single,rented,no,Scientist,Shimla,Himachal_Pradesh,12,10,0
483,4149976,35,15,married,owned,no,Drafter,Ludhiana,Punjab,10,12,0
486,6118570,53,14,married,rented,no,Technology_specialist,Dehradun,Uttarakhand,14,13,0
490,3985432,47,13,single,rented,no,Technician,Faridabad,Haryana,4,12,0
499,3215432,37,6,single,rented,yes,Consultant,Haridwar,Uttarakhand,6,12,0
566,6963246,35,16,single,rented,no,Industrial_Engineer,Gurgaon,Haryana,14,12,1
583,294610,49,16,single,rented,no,Computer_hardware_engineer,Yamunanagar,Haryana,6,13,0
610,1097615,59,15,married,rented,no,Technician,Yamunanagar,Haryana,5,14,0
612,346205,68,14,single,rented,no,Police_officer,Bhiwani,Haryana,6,13,0
649,9559493,77,3,single,rented,no,Army_officer,Sirsa,Haryana,3,13,0
695,1585215,64,9,single,rented,no,Politician,Karnal,Haryana,9,10,0
700,7767858,29,0,married,rented,no,Physician,Yamunanagar,Haryana,0,10,0
719,3753805,68,0,single,rented,no,Physician,Srinagar,Jammu_and_Kashmir,0,13,0
738,1117930,79,15,single,rented,no,Drafter,Rohtak,Haryana,9,12,1
740,96503,40,13,single,rented,no,Flight_attendant,Shimla,Himachal_Pradesh,3,14,1
755,8973665,74,19,single,rented,no,Psychologist,Yamunanagar,Haryana,13,10,0
795,7394642,53,11,single,rented,yes,Police_officer,Bathinda,Punjab,11,14,0
817,1755216,38,15,single,rented,no,Hotel_Manager,Haridwar,Uttarakhand,11,13,0
822,3469231,42,12,single,rented,no,Surgeon,Rohtak,Haryana,12,14,0
828,1014244,36,9,single,rented,no,Designer,Ludhiana,Punjab,9,10,0
852,1854968,27,19,single,rented,no,Financial_Analyst,Sonipat,Haryana,3,14,0
864,1239373,64,4,single,rented,no,Lawyer,Srinagar,Jammu_and_Kashmir,3,12,0
886,6443249,69,18,single,rented,no,Firefighter,Ambala,Haryana,6,10,0
898,4273331,67,17,single,rented,yes,Surgeon,Amritsar,Punjab,6,10,0
899,8371842,66,15,single,owned,no,Comedian,Jalandhar,Punjab,4,11,1
920,156398,69,10,single,rented,yes,Technology_specialist,Bathinda,Punjab,7,14,0
921,2157311,78,14,single,rented,no,Chef,Sonipat,Haryana,6,12,1
938,7198404,29,19,single,owned,yes,Graphic_Designer,Patiala,Punjab,6,14,1
949,2310149,35,9,single,rented,no,Air_traffic_controller,Jammu[16],Jammu_and_Kashmir,9,11,0
965,4486618,31,6,single,norent_noown,yes,Police_officer,Yamunanagar,Haryana,6,10,0
